Date,Open,High,Low,Close,Volume
2019-07-27,9846.716318,10191.14152,9317.937143,9471.774332,44380.31067
2019-07-28,9469.013013,9600.587703,9144.636455,9532.873484,22332.00866
2019-07-29,9540.689064,9702.071939,9395.04951,9501.536914,27705.62756
2019-07-30,9502.107519,9738.50547,9388.118089,9591.336306,25487.69229
2019-07-31,9591.21227,10113.06826,9577.234784,10084.67584,35271.47935
2019-08-01,10092.52996,10483.22261,9885.984735,10405.61904,35391.67557
2019-08-02,10408.47639,10664.51529,10337.51946,10533.13728,35737.97619
2019-08-03,10533.39854,10917.87944,10513.07253,10817.9033,25646.777
2019-08-04,10818.17389,11072.10646,10584.2394,10977.3958,29570.98361
2019-08-05,10977.98697,11946.66901,10977.98697,11801.63803,61179.94593
2019-08-06,11799.19527,12311.90721,11212.46474,11464.33676,65065.15749
2019-08-07,11459.44678,12131.52637,11391.34731,11966.97841,59009.5124
2019-08-08,11987.72786,12044.25248,11495.54508,11993.74618,37918.42583
2019-08-09,12014.09184,12029.76766,11664.15359,11870.50118,30804.75809
2019-08-10,11884.52577,11978.58552,11249.47594,11298.44872,33473.73565
2019-08-11,11296.7522,11568.8529,11127.60764,11568.8529,18502.19002
2019-08-12,11544.40996,11544.40996,11245.43774,11384.47732,15563.90156
2019-08-13,11388.47895,11435.79831,10751.17888,10858.364,34409.38965
2019-08-14,10858.82116,10861.55763,9921.83457,10019.63869,59637.55444
2019-08-15,10025.90109,10441.07065,9491.555341,10301.60815,70796.68745
2019-08-16,10296.23003,10536.04589,9753.702142,10358.69343,48947.16505
2019-08-17,10354.4004,10469.2678,9999.81146,10213.37923,18495.06434
2019-08-18,10216.6638,10506.39805,10076.50422,10321.53365,15975.23379
2019-08-19,10312.52012,10929.29389,10275.09722,10918.78611,31847.95326
2019-08-20,10934.9971,10948.76811,10572.35912,10756.95767,23511.81646
2019-08-21,10767.47292,10797.1241,9864.835507,10129.56713,46794.24006
2019-08-22,10131.91461,10228.59936,9765.10333,10109.67303,30476.46812
2019-08-23,10108.21322,10467.40876,10049.21803,10419.92108,24408.42375
2019-08-24,10419.67946,10439.83413,9918.786304,10156.8219,22232.62477
2019-08-25,10165.71354,10350.08154,9930.015169,10142.8087,19610.40496
2019-08-26,10147.54889,10644.60105,10147.54889,10362.48276,36557.71782
2019-08-27,10361.35909,10377.41415,10030.82765,10173.17005,20473.02328
2019-08-28,10173.75388,10269.11258,9565.347598,9723.440131,43909.78832
2019-08-29,9719.52224,9719.52224,9334.374433,9487.342174,36723.3485
2019-08-30,9491.709481,9688.438656,9367.397411,9584.367421,24024.60355
2019-08-31,9581.437091,9693.708992,9453.4275,9608.425602,9424.831793
2019-09-01,9605.991301,9831.481276,9556.015039,9768.581483,10488.6205
2019-09-02,9779.872551,10457.02993,9762.013844,10388.39959,31716.60906
2019-09-03,10387.30493,10774.35034,10293.06003,10627.30718,43147.46349
2019-09-04,10634.28118,10822.64847,10386.76624,10583.89919,35699.80097
2019-09-05,10584.47624,10652.79868,10470.88231,10578.71442,19628.61957
2019-09-06,10576.62464,10939.04325,10212.53094,10331.27594,45679.71697
2019-09-07,10326.76562,10581.15448,10326.76562,10499.95668,12384.21569
2019-09-08,10499.78302,10602.59035,10276.47704,10408.49664,12851.82091
2019-09-09,10403.52948,10500.35053,10077.61202,10317.4228,26368.25507
2019-09-10,10314.12685,10390.21351,9952.176561,10100.59576,22575.14898
2019-09-11,10095.50042,10222.81967,9893.918558,10162.26747,24234.3147
2019-09-12,10162.42358,10461.67178,10043.98517,10424.68319,22409.14584
2019-09-13,10431.37713,10452.1689,10170.37981,10371.40495,19091.87089
2019-09-14,10377.972,10446.09136,10255.11033,10370.58208,11057.58944
2019-09-15,10369.41607,10389.97604,10277.01989,10311.60982,7618.729114
2019-09-16,10311.01808,10374.81487,10083.96409,10265.2924,21782.79202
2019-09-17,10262.9149,10274.06768,10142.38568,10192.28165,17334.49062
2019-09-18,10189.7566,10258.61359,10089.3662,10159.19783,17243.82433
2019-09-19,10160.55762,10353.8671,9633.83119,10276.87957,39020.72163
2019-09-20,10279.95921,10305.62879,10079.39275,10170.33077,17460.08337
2019-09-21,10169.80638,10171.74778,9934.142549,9980.444262,13661.37907
2019-09-22,9978.579045,10077.47264,9854.642853,10030.61275,12636.61147
2019-09-23,10030.49949,10046.66762,9628.418172,9691.626473,27735.05788
2019-09-24,9693.213652,9779.608959,8106.087607,8532.3875,112207.9835
2019-09-25,8537.473547,8746.307334,8237.356321,8437.025899,63580.38387
2019-09-26,8442.627219,8464.753345,7751.711717,8061.030087,70868.80805
2019-09-27,8061.679659,8281.472449,7874.819276,8196.623798,42144.80922
2019-09-28,8198.019607,8329.696674,8032.782066,8221.752889,23565.97444
2019-09-29,8225.518543,8240.151954,7924.228836,8055.047347,21197.31046
2019-09-30,8056.999462,8354.826029,7730.887153,8306.361385,42925.73958
2019-10-01,8321.229342,8522.733584,8203.883045,8323.571,37285.1217
2019-10-02,8322.161846,8392.982977,8178.213323,8383.871143,21191.231
2019-10-03,8388.072459,8414.905714,8089.334498,8241.392151,26464.94074
2019-10-04,8240.903807,8246.359364,8026.894525,8158.373849,21754.64391
2019-10-05,8156.240112,8197.091721,8027.976356,8148.545201,12793.34361
2019-10-06,8150.190375,8173.39334,7803.65071,7863.728512,24619.21929
2019-10-07,7863.358554,8306.088191,7776.739147,8209.470273,33299.56521
2019-10-08,8211.328015,8341.22182,8116.182565,8187.610083,17212.59897
2019-10-09,8186.634192,8684.835852,8120.61246,8590.288398,39598.37544
2019-10-10,8591.618115,8656.041642,8460.175322,8588.535216,24750.96514
2019-10-11,8589.69785,8798.569087,8243.418227,8269.852528,34101.95611
2019-10-12,8266.037796,8407.241224,8264.744562,8309.397522,8058.336409
2019-10-13,8307.323772,8468.729906,8168.65294,8284.536655,15736.8165
2019-10-14,8282.851609,8396.267022,8225.880578,8355.19108,14267.96919
2019-10-15,8356.078089,8406.022065,8105.800228,8162.147567,22692.9638
2019-10-16,8159.645089,8175.782067,7922.798965,7998.997458,27231.52749
2019-10-17,7997.948869,8123.18193,7943.4812,8076.608717,18659.80974
2019-10-18,8077.108373,8117.352581,7829.022849,7956.829423,22804.35052
2019-10-19,7957.890685,8079.943632,7889.484192,7961.788243,13661.5837
2019-10-20,7963.781308,8303.496101,7888.609525,8234.288247,19724.47926
2019-10-21,8235.3502,8334.341534,8161.338022,8219.545022,18710.66651
2019-10-22,8213.725315,8309.052785,8005.182679,8026.460961,20833.98671
2019-10-23,8023.982932,8050.896313,7317.977427,7474.996839,57297.31489
2019-10-24,7473.636881,7511.68739,7363.90206,7432.10399,22009.46534
2019-10-25,7433.278082,8748.083296,7402.694697,8666.324972,74403.48439
2019-10-26,8706.559872,10440.9533,8649.450913,9255.325785,136631.9026
2019-10-27,9259.458367,9796.39212,9109.833081,9548.406813,54940.5092
2019-10-28,9557.099546,9921.583637,9199.332067,9215.604626,47269.72168
2019-10-29,9214.360926,9547.59586,9112.565308,9432.399178,35016.37063
2019-10-30,9432.117338,9432.736108,9009.027937,9166.641501,30388.2679
2019-10-31,9167.466767,9418.154594,8970.301104,9153.449946,29827.40441
2019-11-01,9157.183624,9298.887917,9062.247713,9255.150683,22218.73463
2019-11-02,9261.474274,9384.569174,9210.8722,9306.166864,11792.25303
2019-11-03,9307.312167,9378.704462,9081.00917,9207.402809,11336.36212
2019-11-04,9210.534224,9559.03117,9131.675017,9415.329115,22982.88332
2019-11-05,9414.417205,9478.986871,9189.612948,9316.302104,21656.54825
2019-11-06,9318.05569,9441.432878,9261.785475,9343.211981,17885.40137
2019-11-07,9345.305368,9370.846864,9091.205553,9202.023005,16896.63006
2019-11-08,9203.130956,9245.167612,8682.878721,8766.54272,36615.89548
2019-11-09,8764.011589,8873.735501,8720.57671,8809.653154,10219.80481
2019-11-10,8807.115801,9120.91384,8753.734533,9035.842571,14615.50467
2019-11-11,9037.990672,9065.835544,8613.970558,8720.208357,22509.57477
2019-11-12,8720.893049,8850.767497,8576.93893,8807.334112,19363.43298
2019-11-13,8822.908689,8829.451959,8710.976215,8762.718192,12962.36942
2019-11-14,8765.691651,8783.079477,8571.265815,8632.317631,15739.96791
2019-11-15,8632.36036,8764.930601,8387.930072,8461.778034,27695.90941
2019-11-16,8462.139057,8525.121719,8435.181931,8484.648728,6889.542719
2019-11-17,8485.742119,8619.405638,8388.941478,8503.31011,10279.62992
2019-11-18,8503.620854,8503.620854,8042.579707,8175.589026,26310.131
2019-11-19,8171.540031,8197.233383,8007.373189,8123.536046,20843.4868
2019-11-20,8125.12899,8216.133559,8035.884845,8083.946739,15971.49071
2019-11-21,8083.486714,8113.271691,7428.224691,7618.604873,43059.73753
2019-11-22,7617.844823,7698.357552,6804.99,7287.502403,84363.17362
2019-11-23,7285.337028,7350.042928,7110.763856,7326.861609,20128.60328
2019-11-24,7329.389133,7342.641992,6876.396917,6914.950509,26815.28382
2019-11-25,6902.077734,7368.18033,6535.065832,7127.849409,72090.09639
2019-11-26,7127.047584,7336.581062,7030.621832,7164.984145,31379.96654
2019-11-27,7164.779417,7667.797683,6859.509831,7527.782549,56124.90129
2019-11-28,7525.647504,7654.460192,7384.52876,7434.144688,17860.51171
2019-11-29,7434.415307,7855.288549,7424.248347,7759.116675,30641.77153
2019-11-30,7756.676227,7803.72854,7465.793761,7557.86296,18589.36982
2019-12-01,7558.019231,7558.019231,7247.975362,7407.563683,24174.05092
2019-12-02,7408.57484,7428.589436,7167.607954,7308.43764,20674.83257
2019-12-03,7307.278958,7407.366582,7246.092744,7300.178685,16070.60604
2019-12-04,7301.473853,7742.217358,7099.243464,7195.28828,42697.01065
2019-12-05,7195.265449,7484.707994,7175.643099,7394.529123,25438.11126
2019-12-06,7393.928179,7578.864552,7315.067806,7547.739344,23375.24878
2019-12-07,7546.430154,7618.403766,7492.552515,7503.30201,11048.56762
2019-12-08,7502.604531,7572.882853,7395.544035,7522.763865,9975.060673
2019-12-09,7520.66353,7638.868293,7290.028157,7338.875381,29524.65788
2019-12-10,7333.790736,7385.71565,7166.599227,7222.016395,20263.73336
2019-12-11,7223.606366,7266.347875,7139.07049,7204.080985,16404.7402
2019-12-12,7229.730049,7278.49448,7091.730703,7189.391682,23071.09671
2019-12-13,7190.113003,7294.674748,7185.512565,7253.090309,16381.24326
2019-12-14,7253.297406,7265.632882,7011.312979,7065.918819,11547.21875
2019-12-15,7065.49119,7187.688286,7011.804577,7112.190266,11961.49984
2019-12-16,7113.163264,7135.186128,6835.015619,6879.444774,31423.06262
2019-12-17,6879.697068,6932.860018,6567.987358,6613.908648,36331.63391
2019-12-18,6616.152779,7410.000919,6438.816046,7286.785584,61194.12306
2019-12-19,7292.180338,7363.274192,7049.687274,7150.632897,27963.29952
2019-12-20,7150.763498,7215.30365,7083.086843,7192.9602,17065.95906
2019-12-21,7192.589045,7193.060744,7121.608113,7144.473009,7993.312937
2019-12-22,7145.065733,7521.434505,7127.612083,7513.955824,22567.69573
2019-12-23,7525.061459,7687.138781,7265.006414,7318.714458,38025.07865
2019-12-24,7317.963828,7421.256662,7163.245816,7256.663023,21090.30546
2019-12-25,7252.316013,7274.253417,7120.477201,7191.944284,12446.52211
2019-12-26,7193.823864,7423.353959,7151.447706,7195.410676,18392.54371
2019-12-27,7196.558811,7252.701162,7060.245177,7245.331547,21488.11005
2019-12-28,7247.589402,7345.449123,7235.658344,7302.032637,11200.74162
2019-12-29,7303.080955,7524.677766,7282.023127,7387.359189,15131.17531
2019-12-30,7383.328308,7383.577139,7204.92943,7218.72037,19437.47713
2019-12-31,7215.840738,7299.01558,7117.29459,7171.074995,16575.04008
2020-01-01,7170.539272,7234.004691,7155.403291,7176.374137,8754.170396
2020-01-02,7176.297111,7184.51631,6914.807755,6945.793938,21248.98
2020-01-03,6945.081811,7396.024662,6860.901367,7330.785361,37773.02926
2020-01-04,7334.61557,7390.392504,7271.809471,7349.682545,13181.48832
2020-01-05,7349.695157,7488.873411,7318.244835,7353.236759,14633.29781
2020-01-06,7352.077241,7793.376787,7346.09168,7763.221304,31157.67333
2020-01-07,7766.614392,8209.160408,7732.139991,8162.705082,53198.05787
2020-01-08,8156.702378,8462.973753,7874.232386,8045.252611,60946.08974
2020-01-09,8047.080687,8047.080687,7750.871439,7816.444266,27705.411
2020-01-10,7815.295708,8192.252782,7680.757778,8192.252782,37790.17043
2020-01-11,8196.550119,8280.524637,8004.010849,8022.095619,19803.56492
2020-01-12,8014.99396,8176.736053,7968.615356,8175.899118,10433.95648
2020-01-13,8179.683375,8188.87851,8049.388475,8107.890505,18638.60745
2020-01-14,8110.098767,8879.418744,8110.098767,8829.108051,72842.20942
2020-01-15,8803.24028,8896.040705,8564.552955,8815.061173,40548.5043
2020-01-16,8815.117026,8847.014199,8589.878983,8719.506087,26417.79438
2020-01-17,8716.768776,9003.005242,8668.782153,8898.188272,40873.31963
2020-01-18,8890.302344,8975.060052,8809.69133,8908.933696,15788.84007
2020-01-19,8906.714912,9179.012467,8505.29669,8702.652507,41168.86082
2020-01-20,8700.92379,8733.884419,8514.906493,8631.634801,18825.40196
2020-01-21,8635.174406,8762.515709,8485.804294,8723.71314,20441.98702
2020-01-22,8726.672635,8785.987112,8583.675861,8660.945897,15385.06922
2020-01-23,8662.274599,8664.271738,8281.691129,8389.268917,33430.73378
2020-01-24,8391.154224,8508.646848,8223.315987,8426.62477,25344.43007
2020-01-25,8429.985847,8431.881438,8258.648738,8329.51715,11372.74643
2020-01-26,8323.508041,8594.545107,8287.96475,8594.545107,18345.65425
2020-01-27,8604.865988,8980.759473,8563.645356,8893.78388,32022.98011
2020-01-28,8895.953678,9401.793352,8890.185912,9389.297227,45534.42386
2020-01-29,9399.295533,9424.961157,9239.18461,9283.619468,30982.33422
2020-01-30,9283.99176,9564.184572,9188.165463,9503.304139,36278.27621
2020-01-31,9503.257024,9516.729024,9204.850129,9333.535406,25823.72127
2020-02-01,9341.939036,9453.148561,9292.288378,9379.927137,9697.714475
2020-02-02,9380.196998,9465.221925,9169.950882,9325.98865,16705.12934
2020-02-03,9324.932235,9593.255761,9228.04866,9286.294525,26841.84932
2020-02-04,9285.159165,9343.876087,9082.880548,9165.496529,21846.75945
2020-02-05,9165.671118,9749.22852,9153.923978,9611.91844,36127.10811
2020-02-06,9614.428723,9852.524176,9531.454379,9757.516196,33087.88869
2020-02-07,9759.171091,9866.563564,9720.97791,9810.727375,21170.28068
2020-02-08,9808.899546,9944.62312,9664.131149,9907.492141,18292.49127
2020-02-09,9907.278238,10171.51667,9892.834437,10167.88082,23752.20261
2020-02-10,10170.46355,10192.34944,9763.604442,9852.956355,34144.73984
2020-02-11,9852.278382,10369.93711,9713.830203,10271.12751,41219.93445
2020-02-12,10274.40385,10475.37119,10256.05529,10354.3545,34443.54991
2020-02-13,10352.44176,10504.55468,10091.31561,10241.93569,43309.56411
2020-02-14,10240.07898,10389.79911,10108.65751,10370.4806,23727.63417
2020-02-15,10372.98442,10395.32812,9822.428567,9909.160265,27782.95744
2020-02-16,9911.087322,10049.17936,9637.721231,9933.989262,20972.04186
2020-02-17,9915.807751,9960.326983,9475.078732,9703.996682,28681.42807
2020-02-18,9711.071416,10268.50324,9622.046921,10185.27314,31552.94089
2020-02-19,10188.6363,10296.72927,9357.499027,9604.380676,41739.15331
2020-02-20,9592.198956,9690.147697,9436.453641,9610.501584,30066.49827
2020-02-21,9611.098339,9771.65033,9580.268593,9698.613224,19115.24635
2020-02-22,9699.305541,9720.626883,9580.152468,9673.072796,8380.567681
2020-02-23,9672.66626,9999.995926,9670.050132,9978.452492,15322.35057
2020-02-24,9968.762921,10018.78369,9496.464345,9666.110967,28495.32088
2020-02-25,9666.072096,9677.749747,9261.088498,9307.112556,28030.43066
2020-02-26,9306.850745,9365.416448,8652.357413,8785.296579,59417.29073
2020-02-27,8783.473771,8973.367172,8532.526558,8812.389391,40131.03845
2020-02-28,8820.901927,8896.983401,8439.641559,8707.845447,36391.57734
2020-02-29,8706.898027,8800.323452,8531.473044,8531.473044,12714.95293
2020-03-01,8527.162773,8746.641856,8421.923925,8530.636753,19955.93833
2020-03-02,8513.364208,8977.178914,8494.655497,8919.654962,30312.50178
2020-03-03,8923.375186,8925.233753,8672.040133,8758.99683,25073.75763
2020-03-04,8761.932578,8848.45163,8681.109322,8763.433302,18120.29346
2020-03-05,8762.967477,9170.570032,8762.967477,9071.151073,30379.47608
2020-03-06,9065.22818,9183.741638,9002.345491,9158.462322,19548.96238
2020-03-07,9157.4671,9209.228589,8863.206531,8903.822528,15907.33763
2020-03-08,8900.011136,8900.011136,8014.47886,8040.870203,44808.11499
2020-03-09,8043.602997,8170.843133,7628.223319,7929.215976,69361.46609
2020-03-10,7931.332861,8158.536599,7747.85528,7888.822168,47666.40642
2020-03-11,7892.614511,7984.435972,7596.282895,7937.838737,38602.24152
2020-03-12,7942.041072,7964.992472,4757.64346,4876.595093,276789.3197
2020-03-13,4897.470538,5982.39843,3941.213225,5638.958757,300156.3114
2020-03-14,5626.228316,5667.643191,5065.816782,5183.581002,75085.93553
2020-03-15,5180.90559,5952.927211,5121.99646,5355.752038,95111.44671
2020-03-16,5354.28651,5354.28651,4460.888986,5034.767691,189398.1927
2020-03-17,5081.047511,5548.648167,4945.955964,5346.703698,108559.7271
2020-03-18,5348.768738,5451.294084,5035.34911,5417.103656,101895.7697
2020-03-19,5425.417037,6422.213459,5275.923811,6195.389764,142930.8954
2020-03-20,6203.27982,6931.571394,5695.940408,6222.43161,150742.7027
2020-03-21,6227.214846,6467.762076,5886.974907,6212.560518,59901.96637
2020-03-22,6210.604021,6428.716849,5768.159757,5832.375638,65882.50479
2020-03-23,5813.707897,6609.135249,5732.918771,6501.379179,105687.0809
2020-03-24,6517.872208,6858.841024,6412.380094,6771.767646,101427.2678
2020-03-25,6760.632779,6976.552364,6493.501401,6697.257273,82165.2854
2020-03-26,6735.969653,6790.585122,6546.160414,6764.065067,45895.81039
2020-03-27,6768.043091,6869.387024,6322.37908,6386.665313,53919.85323
2020-03-28,6363.246339,6363.246339,6059.334539,6262.125813,56508.14158
2020-03-29,6263.453424,6281.957156,5879.388085,5879.910005,42709.98951
2020-03-30,5884.158392,6614.881696,5862.921518,6403.842648,67905.8547
2020-03-31,6405.128017,6527.456193,6354.671523,6426.954664,34701.88215
2020-04-01,6430.297692,6698.171183,6164.049519,6656.463873,53824.1903
2020-04-02,6691.525442,7219.461915,6585.625191,6799.716583,90977.86586
2020-04-03,6792.122721,7041.838149,6619.449167,6742.117154,51755.1027
2020-04-04,6737.699658,6993.318304,6675.870074,6875.754956,26286.32073
2020-04-05,6887.54377,6904.778029,6687.677959,6779.874962,19697.15539
2020-04-06,6779.142564,7353.181055,6777.274738,7347.687206,72415.33944
2020-04-07,7340.523316,7463.416686,7087.508917,7203.478274,62281.61888
2020-04-08,7204.074543,7424.086325,7156.967013,7369.715837,43471.84966
2020-04-09,7368.146482,7376.188751,7128.930216,7297.879835,38548.34365
2020-04-10,7299.674992,7306.31833,6757.859729,6876.616599,56408.52652
2020-04-11,6879.580495,6952.732242,6778.220067,6891.547297,20226.49659
2020-04-12,6891.447175,7202.724087,6798.794065,6908.336939,35855.79286
2020-04-13,6877.997819,6899.987214,6600.506267,6862.202901,56425.60578
2020-04-14,6862.965934,6988.015709,6783.876653,6879.131065,35945.76398
2020-04-15,6874.855551,6938.005291,6615.046901,6626.33073,40367.17168
2020-04-16,6601.716397,7199.997037,6482.352187,7112.717249,80997.48896
2020-04-17,7115.505775,7152.82843,7007.017845,7036.347585,36408.93996
2020-04-18,7030.212821,7301.659327,7030.212821,7261.014867,27623.24719
2020-04-19,7265.367861,7274.71735,7074.269351,7131.371224,21835.34416
2020-04-20,7131.399937,7218.483965,6767.993855,6844.309391,51693.65547
2020-04-21,6837.933003,6941.984072,6785.50476,6856.938432,35833.9359
2020-04-22,6854.404739,7163.680847,6832.889972,7131.544177,36441.61452
2020-04-23,7132.372204,7728.645026,7040.398024,7478.180799,66716.49848
2020-04-24,7480.892493,7606.363458,7403.86673,7511.295748,39592.26556
2020-04-25,7515.297564,7703.974949,7451.915096,7552.892245,22593.27849
2020-04-26,7550.079973,7708.020818,7520.054306,7704.307154,26300.02816
2020-04-27,7734.943231,7795.11286,7646.350564,7793.074669,39027.76239
2020-04-28,7796.279793,7796.279793,7677.793406,7766.22389,30815.39543
2020-04-29,7764.080998,8959.652806,7735.691904,8785.300079,132109.5426
2020-04-30,8788.449041,9468.634971,8424.102167,8636.032498,132648.5607
2020-05-01,8633.294409,9071.786701,8633.294409,8850.690365,55542.87452
2020-05-02,8849.360915,9036.536269,8794.152437,9005.068893,28644.71333
2020-05-03,9006.324463,9218.778887,8771.241031,8909.367249,46588.35766
2020-05-04,8916.998699,8967.814993,8543.110849,8888.296044,51069.89004
2020-05-05,8889.715059,9113.445002,8799.604373,9033.749368,47833.80573
2020-05-06,9035.922229,9407.198529,8927.941148,9157.57599,74236.75259
2020-05-07,9146.577799,10055.794,9056.594545,9997.71309,112346.5721
2020-05-08,10004.70723,10044.40556,9738.944064,9840.179497,73625.22427
2020-05-09,9831.748952,9943.616753,9559.008756,9574.422874,49930.55579
2020-05-10,9564.225796,9587.608245,8176.087786,8745.135451,139983.6058
2020-05-11,8738.217699,9174.236924,8214.54946,8580.843946,126621.7301
2020-05-12,8569.41306,8977.834567,8553.146736,8825.932189,54442.33453
2020-05-13,8820.704368,9412.604982,8813.971215,9319.390098,58734.09732
2020-05-14,9327.881141,9935.323255,9268.785792,9788.362597,85898.45093
2020-05-15,9789.437152,9834.747767,9163.987877,9311.071292,71949.04868
2020-05-16,9317.572426,9574.517756,9222.491535,9389.652195,27678.68715
2020-05-17,9374.189968,9870.490754,9339.470155,9667.691728,40892.02699
2020-05-18,9679.925869,9929.859241,9489.472917,9726.16444,52116.53464
2020-05-19,9730.030368,9890.987755,9479.702438,9780.638815,48922.02401
2020-05-20,9783.510511,9833.72724,9354.862569,9515.396074,52358.7133
2020-05-21,9510.263918,9566.187567,8808.191703,9060.037859,78700.00587
2020-05-22,9055.236431,9260.547153,8939.167815,9169.725448,37208.34236
2020-05-23,9170.837034,9308.649075,9105.425945,9180.590624,17770.15487
2020-05-24,9176.706352,9300.740627,8713.992024,8724.294949,37654.54041
2020-05-25,8696.970739,8974.76407,8655.267174,8899.815404,37974.76606
2020-05-26,8901.576172,9012.715843,8708.938716,8845.921044,32105.24466
