Date,Open,High,Low,Close,Volume
2017-05-22,0.338402987,0.345411986,0.270090997,0.317954004,265699008
2017-05-23,0.313347012,0.354014009,0.291893005,0.323368013,153050000
2017-05-24,0.32505399,0.357358009,0.293009013,0.295890003,166168000
2017-05-25,0.291833997,0.303467005,0.238307998,0.246065006,237804992
2017-05-26,0.245083004,0.327811986,0.245083004,0.271807998,253935008
2017-05-27,0.272697002,0.283363014,0.162345007,0.212549001,255532000
2017-05-28,0.212887004,0.242394999,0.204651996,0.229553998,122253000
2017-05-29,0.227189004,0.242819995,0.214776993,0.232069999,86555600
2017-05-30,0.232190996,0.237367004,0.205323994,0.205323994,92808704
2017-05-31,0.205359995,0.247676998,0.193838999,0.246590003,160620000
2017-06-01,0.243946001,0.336796999,0.243946001,0.333656996,588819008
2017-06-02,0.333644986,0.335808992,0.290710002,0.303447992,293676992
2017-06-03,0.300460011,0.310862988,0.277563006,0.294580013,155454000
2017-06-04,0.298386008,0.313944012,0.277184993,0.299412996,153488000
2017-06-05,0.299861997,0.302394003,0.28459999,0.29400301,78433504
2017-06-06,0.294028014,0.294537008,0.276248008,0.284548014,132720000
2017-06-07,0.284676999,0.298379004,0.27887401,0.27978301,145839008
2017-06-08,0.280901998,0.298570007,0.276441008,0.289678007,103152000
2017-06-09,0.289694995,0.299493015,0.285883993,0.286018997,102482000
2017-06-10,0.285806,0.288991004,0.257878989,0.260874003,156720992
2017-06-11,0.259445012,0.277734995,0.259113014,0.272758991,114566000
2017-06-12,0.273075014,0.283289999,0.247475997,0.253964007,149942000
2017-06-13,0.253823012,0.274659008,0.252200007,0.266153008,111937000
2017-06-14,0.265823007,0.307853997,0.263202012,0.278447002,431096000
2017-06-15,0.278196007,0.278923005,0.240868002,0.259265989,191548000
2017-06-16,0.259472996,0.266211003,0.252407998,0.262068003,88152400
2017-06-17,0.26235801,0.270716995,0.25810501,0.268350989,121948000
2017-06-18,0.268085003,0.28946799,0.265078008,0.28459999,232512000
2017-06-19,0.283977002,0.296068013,0.280232996,0.296068013,164955008
2017-06-20,0.292194009,0.339533001,0.290147007,0.324427009,793609984
2017-06-21,0.324622989,0.327760011,0.28361401,0.296366006,358492992
2017-06-22,0.299885988,0.305851996,0.291518986,0.297847986,194551008
2017-06-23,0.297717988,0.320751011,0.295551002,0.319977999,177220992
2017-06-24,0.319187999,0.327116996,0.306486994,0.31110999,313710016
2017-06-25,0.31081599,0.311156988,0.289148003,0.298422992,158844992
2017-06-26,0.29877001,0.301979989,0.260818988,0.27728799,280100000
2017-06-27,0.27728799,0.278809994,0.251051992,0.276306003,186951008
2017-06-28,0.275391012,0.281489998,0.267839998,0.280454993,126278000
2017-06-29,0.280564994,0.280873001,0.264174998,0.265421003,89745296
2017-06-30,0.266059995,0.269160002,0.262241989,0.262930006,67764496
2017-07-01,0.262854993,0.263053,0.252965987,0.254743993,53611000
2017-07-02,0.254512012,0.259950995,0.250943989,0.259449005,54095000
2017-07-03,0.258976996,0.262353987,0.255665988,0.259959012,60367800
2017-07-04,0.259840995,0.262257993,0.254386991,0.254709005,56008900
2017-07-05,0.255124986,0.261712998,0.254274994,0.256523013,73292096
2017-07-06,0.256374002,0.257147998,0.253302991,0.254640996,43845800
2017-07-07,0.254857987,0.255430996,0.238892004,0.239480004,88408000
2017-07-08,0.239740998,0.239740998,0.221769005,0.236133993,124578000
2017-07-09,0.236883998,0.248501003,0.233416006,0.233416006,82755000
2017-07-10,0.234066993,0.234066993,0.185417995,0.203164995,119367000
2017-07-11,0.196415007,0.203319997,0.168265,0.185019001,271415008
2017-07-12,0.184198007,0.205898002,0.177162006,0.205354005,153023008
2017-07-13,0.205872998,0.230452001,0.193357006,0.200809002,216750000
2017-07-14,0.200819001,0.201156005,0.183368996,0.190769002,97037600
2017-07-15,0.190975994,0.191166997,0.167117998,0.170589,131779000
2017-07-16,0.169479996,0.172574997,0.119769998,0.148056,257944000
2017-07-17,0.150145993,0.179603994,0.141424999,0.177889004,312684992
2017-07-18,0.179667994,0.195806995,0.165966004,0.188718006,295840992
2017-07-19,0.188498005,0.188532993,0.158188,0.168387994,147778000
2017-07-20,0.170017004,0.192918003,0.167717993,0.188295007,183292000
2017-07-21,0.189429998,0.190707996,0.181097999,0.182607993,104722000
2017-07-22,0.182168007,0.195008993,0.181446999,0.193320006,83913800
2017-07-23,0.193568006,0.204120994,0.188722,0.195058003,195682000
2017-07-24,0.194978997,0.195279002,0.189834997,0.192001998,56632800
2017-07-25,0.192279994,0.192734003,0.169797003,0.178103998,166807008
2017-07-26,0.177581996,0.180871993,0.169060007,0.173822001,76584600
